               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.044407,             0.04013,           0.0085363,              0.8134,             0.75647,             0.82083,             0.37417,             0.04247,            0.030078,            0.007073,            0.007543,            0.007543,            0.007543
                  37,            0.044086,            0.039343,           0.0085774,             0.82568,             0.73548,             0.82248,             0.36938,            0.042583,            0.030009,           0.0083294,            0.007416,            0.007416,            0.007416
                  38,            0.043504,             0.03903,           0.0080793,             0.83058,             0.74468,             0.83329,             0.37459,             0.04217,            0.029462,           0.0070897,           0.0072872,           0.0072872,           0.0072872
                  39,            0.043906,            0.039854,           0.0079873,             0.85186,             0.73628,             0.84166,             0.38409,            0.041939,            0.029622,           0.0074554,           0.0071566,           0.0071566,           0.0071566
                  40,            0.043729,            0.040059,           0.0077731,             0.82031,             0.79047,             0.84038,             0.38438,            0.041502,            0.029555,           0.0069209,           0.0070243,           0.0070243,           0.0070243
                  41,             0.04361,            0.039852,           0.0079945,             0.83999,             0.76145,              0.8397,             0.38114,            0.041807,            0.029613,           0.0074161,           0.0068906,           0.0068906,           0.0068906
                  42,            0.043163,              0.0395,           0.0075631,             0.83329,             0.76743,             0.83987,             0.38355,            0.041702,            0.029205,           0.0076135,           0.0067555,           0.0067555,           0.0067555
                  43,            0.043265,            0.039463,           0.0079879,             0.85985,             0.74074,             0.83762,             0.38572,            0.041397,             0.02943,           0.0075229,           0.0066191,           0.0066191,           0.0066191
                  44,            0.043068,            0.038946,           0.0076782,             0.86555,             0.76828,             0.85102,             0.40056,            0.040753,              0.0293,           0.0070071,           0.0064816,           0.0064816,           0.0064816
                  45,            0.042909,             0.03905,           0.0075946,             0.84944,             0.79101,             0.85731,             0.39912,            0.040969,            0.029125,           0.0066869,           0.0063432,           0.0063432,           0.0063432
                  46,            0.042655,            0.038855,           0.0076501,             0.83745,             0.78631,             0.85605,             0.38816,            0.040863,            0.029114,           0.0070481,            0.006204,            0.006204,            0.006204
                  47,            0.042659,            0.038824,           0.0070357,              0.8235,             0.79199,             0.85331,             0.39272,            0.041066,            0.029024,            0.007061,            0.006064,            0.006064,            0.006064
                  48,            0.042707,            0.038444,           0.0073078,              0.8775,             0.74267,             0.85414,             0.39339,            0.040705,            0.029205,           0.0072468,           0.0059235,           0.0059235,           0.0059235
                  49,            0.042404,            0.039425,           0.0070908,             0.81916,             0.79332,              0.8473,             0.39148,            0.040864,            0.028974,           0.0077504,           0.0057826,           0.0057826,           0.0057826
                  50,            0.042529,             0.03879,           0.0069567,             0.84325,              0.7874,             0.85849,             0.40406,            0.040636,            0.028832,           0.0070909,           0.0056413,           0.0056413,           0.0056413
                  51,            0.042048,            0.037909,           0.0071752,             0.86189,             0.78119,             0.86153,             0.40371,            0.040559,            0.028766,           0.0063949,              0.0055,              0.0055,              0.0055
                  52,            0.042065,            0.038668,           0.0068511,             0.86091,             0.80933,              0.8744,             0.40705,            0.040151,              0.0287,           0.0062347,           0.0053587,           0.0053587,           0.0053587
                  53,            0.041878,            0.037811,           0.0070021,             0.86514,             0.77807,             0.85911,             0.39957,            0.040852,            0.028982,           0.0063698,           0.0052174,           0.0052174,           0.0052174
                  54,            0.041472,            0.037994,           0.0066522,             0.83377,             0.80249,             0.86074,             0.40385,            0.040471,            0.029091,           0.0069495,           0.0050765,           0.0050765,           0.0050765
                  55,            0.041635,            0.038376,           0.0065644,             0.86894,             0.78611,             0.86134,             0.40544,            0.040307,            0.028605,           0.0067723,            0.004936,            0.004936,            0.004936
                  56,            0.041626,            0.038286,           0.0067281,             0.86885,             0.79918,             0.86809,             0.40522,            0.040008,            0.028681,           0.0069353,            0.004796,            0.004796,            0.004796
                  57,            0.041419,            0.038157,           0.0066394,             0.85967,             0.76956,             0.85868,             0.40271,            0.040513,            0.028715,           0.0070169,           0.0046568,           0.0046568,           0.0046568
                  58,            0.041314,            0.037836,           0.0066543,             0.85986,             0.79681,              0.8667,             0.40586,            0.040359,            0.029036,           0.0065571,           0.0045184,           0.0045184,           0.0045184
                  59,            0.041215,            0.036864,           0.0065322,               0.864,             0.78872,             0.86442,             0.40707,            0.040035,            0.028512,           0.0067631,           0.0043809,           0.0043809,           0.0043809
                  60,            0.041214,            0.037442,           0.0063432,             0.89222,              0.7763,             0.87218,             0.41311,            0.040299,            0.028416,            0.006519,           0.0042445,           0.0042445,           0.0042445
                  61,            0.040873,            0.037519,           0.0062714,             0.87719,              0.7792,             0.87037,             0.41108,            0.039843,            0.028596,           0.0064789,           0.0041094,           0.0041094,           0.0041094
                  62,            0.040911,            0.037928,           0.0064924,             0.86511,             0.79803,             0.87231,             0.41587,            0.040219,            0.028342,           0.0067388,           0.0039757,           0.0039757,           0.0039757
